Authors,ArticleTitle,Source Title,Volume,Issue,Start Page,End Page,DOI,Early Access Date,Document Type,Publication Date,Publication Year,Abstract,N,O
"Scully, Jackie Leach",Disability and AI: Much more than assistive technologies.,"Science (New York, N.Y.)",389,6762,eaea4918,eaea4918,10.1126/science.aea4918,,Journal Article,2025-Aug-21,2025,"Nothing succeeds like success, we are told, and certainly that seems true for artificial intelligence (AI). It is hard to overstate either the ubiquity or the success of AI-based technologies in science and technology, health research and care, the media, and everyday life.","Bias, Ethics, and Societal Risks",阐述AI与残障议题的广泛关联，强调研究与政策应超越仅限辅助技术的视角。
"Piao, Jinghua; Liu, Jiazhen; Zhang, Fang; Su, Jun; Li, Yong",Human-AI adaptive dynamics drives the emergence of information cocoons,NATURE MACHINE INTELLIGENCE,5,11,1214,1224,10.1038/s42256-023-00731-4,23-Oct,Article,23-Nov,2023,"Despite AI-driven recommendation algorithms being widely adopted to counter information overload, substantial evidence suggests that they are building cocoons of homogeneous contents and viewpoints, further aggravating social polarization and prejudice. Curbing these perils requires a deep insight into the origin of information cocoons. Here we investigate information cocoons in the real world using two large datasets and find that a large number of users are trapped in information cocoons. Further empirical analysis suggests that two ingredients, each corresponding to a fundamental mechanism in human-AI interaction systems, are correlated with the loss of information diversity. Grounded on the empirical findings, we derive a mechanistic model for the adaptive information dynamics in complex human-AI interaction systems governed by these fundamental mechanisms. It allows us to predict critical transitions between three states: diversification, partial information cocoons, and deep information cocoons. Our work not only empirically traces real-world information cocoons in two representative scenarios, but also theoretically unearths basic mechanisms governing the emergence of information cocoons. We provide a theoretical method for understanding major social issues resulting from adaptive information dynamics in complex human-AI interaction systems.It is widely known that AI-based recommendation systems on social media and news websites can isolate humans from diverse information, eventually trapping them in so-called information cocoons, where they are exposed to a narrow range of viewpoints. Li et al. introduce an adaptive information dynamics model to uncover the origin of information cocoons in complex human-AI interaction systems, and test their findings on two large real-world datasets.",Impact on Human Cognition and Collective Intelligence,基于实证与模型揭示人机自适应互动如何导致信息茧房的形成及其关键转变机制。
"Ahsen, Mehmet Eren; Ayvaci, Mehmet U. S.; Mookerjee, Radha; Stolovitzky, Gustavo",Economics of AI and human task sharing for decision making in screening mammography,NATURE COMMUNICATIONS,16,1,,,10.1038/s41467-025-57409-1,,Article,MAR 7 2025,2025,"The rising global incidence of breast cancer and the persistent shortage of specialized radiologists have heightened the demand for innovative solutions in mammography screening. Artificial intelligence (AI) has emerged as a promising tool to bridge this demand-supply gap, with potential applications ranging from full automation to integrated AI-human decision-making. This study evaluates the economic feasibility of incorporating artificial intelligence (AI) into mammography screening within healthcare settings, considering full or partial integration. To evaluate the economic viability, we employ an optimization model specifically designed to minimize mammography screening costs. This model considers three distinct approaches when interpreting mammograms: automation strategy utilizing AI exclusively, delegation strategy involving the selective allocation of tasks between radiologists and AI, and the expert-alone strategy relying solely on radiologist decisions. Our findings underscore the significance of disease prevalence in relation to the trade-off between costs associated with false positives (e.g., follow-up expenses) and false negatives (e.g., litigation costs stemming from missed diagnoses) in shaping the AI strategy for healthcare organizations. We backtest our approach using data from an AI contest in which participants aimed to match or surpass radiologists' performance in assessing screening mammograms for women. The contest data supports the optimality of the delegation strategy, potentially leading to cost savings of 17.5% to 30.1% compared to relying solely on human experts. Our research provides guidance for healthcare organizations considering AI integration in mammography screening, with broader implications for work design and human-AI hybrid solutions in various fields.",Applications in Professional and Scientific Fields,通过优化模型评估AI在乳腺筛查中不同人机任务分配策略，发现委派策略能显著降低成本。
"McKee, Kevin R.; Botvinick, Matthew",AI learns to encourage group cooperation by making new connections,NATURE HUMAN BEHAVIOUR,7,10,1618,1619,10.1038/s41562-023-01699-2,23-Sep,Editorial Material,23-Oct,2023,"We trained an artificial intelligence (AI) system to recommend different interactions and connections between humans playing a group game together. Through trial and error, the AI system learned to take an encouraging approach to uncooperative individuals, keeping them engaged with the group and boosting cooperation levels for everyone.",Impact on Human Cognition and Collective Intelligence,训练AI通过建议新的社交连接来鼓励不合作者参与，从而整体提升群体合作水平。
"Wittenberg, Chloe; Epstein, Ziv; Peloquin-Skulski, Gabrielle; Berinsky, Adam J.; Rand, David G.",Labeling AI-generated media online,PNAS NEXUS,4,6,,,10.1093/pnasnexus/pgaf170,,Article,25-Jun,2025,"Recent advancements in generative AI have raised widespread concern about the use of this technology to spread audio and visual misinformation. In response, there has been a major push among policymakers and technology companies to label AI-generated media appearing online. It remains unclear, however, what types of labels are most effective for this purpose. Here, we evaluate two (potentially complementary) strategies for labeling AI-generated content online: (i) a process-based approach, aimed at clarifying how content was made and (ii) a harm-based approach, aimed at highlighting content's potential to mislead. Using two preregistered survey experiments focused on misleading, AI-generated images (total n = 7,579 Americans), we assess the consequences of these different labeling strategies for viewers' beliefs and behavioral intentions. Overall, we find that all of the labels we tested significantly decreased participants' belief in the presented claims. However, in both studies, labels that simply informed participants that content was generated using AI tended to have little impact on respondents' stated likelihood of engaging with their assigned post. Together, these results shed light on the relative advantages and disadvantages of different approaches to labeling AI-generated media online.",Content Authenticity and Mitigation Strategies,比较不同AI生成媒体标注策略对受众信念与行为意向的影响，发现标注可降低信任但对参与意愿影响有限。
"Messeri, Lisa; Crockett, M. J.",Artificial intelligence and illusions of understanding in scientific research,NATURE,627,8002,49,58,10.1038/s41586-024-07146-0,,Review,MAR 7 2024,2024,"Scientists are enthusiastically imagining ways in which artificial intelligence (AI) tools might improve research. Why are AI tools so attractive and what are the risks of implementing them across the research pipeline? Here we develop a taxonomy of scientists' visions for AI, observing that their appeal comes from promises to improve productivity and objectivity by overcoming human shortcomings. But proposed AI solutions can also exploit our cognitive limitations, making us vulnerable to illusions of understanding in which we believe we understand more about the world than we actually do. Such illusions obscure the scientific community's ability to see the formation of scientific monocultures, in which some types of methods, questions and viewpoints come to dominate alternative approaches, making science less innovative and more vulnerable to errors. The proliferation of AI tools in science risks introducing a phase of scientific enquiry in which we produce more but understand less. By analysing the appeal of these tools, we provide a framework for advancing discussions of responsible knowledge production in the age of AI.The proliferation of artificial intelligence tools in scientific research risks creating illusions of understanding, where scientists believe they understand more about the world than they actually do.",Impact on Human Cognition and Collective Intelligence,AI在科研中可能造成理解幻象，促成方法单一化并削弱创新。
"Purcell, Zoe A.; Bonnefon, Jean-Francois",Humans feel too special for machines to score their morals,PNAS NEXUS,2,6,,,10.1093/pnasnexus/pgad179,23-Jun,Article,MAY 31 2023,2023,"Artificial intelligence (AI) can be harnessed to create sophisticated social and moral scoring systems-enabling people and organizations to form judgments of others at scale. However, it also poses significant ethical challenges and is, subsequently, the subject of wide debate. As these technologies are developed and governing bodies face regulatory decisions, it is crucial that we understand the attraction or resistance that people have for AI moral scoring. Across four experiments, we show that the acceptability of moral scoring by AI is related to expectations about the quality of those scores, but that expectations about quality are compromised by people's tendency to see themselves as morally peculiar. We demonstrate that people overestimate the peculiarity of their moral profile, believe that AI will neglect this peculiarity, and resist for this reason the introduction of moral scoring by AI.",Human-AI Interaction and Perception,人们因自认为道德独特而对AI道德评分持抵触态度。
"Tey, Kian Siong; Mazar, Asaf; Tomaino, Geoff; Duckworth, Angela L.; Ungar, Lyle H.",People judge others more harshly after talking to bots,PNAS NEXUS,3,9,,,10.1093/pnasnexus/pgae397,,Article,SEP 24 2024,2024,"People now commonly interact with Artificial Intelligence (AI) agents. How do these interactions shape how humans perceive each other? In two preregistered studies (total N = 1,261), we show that people evaluate other humans more harshly after interacting with an AI (compared with an unrelated purported human). In Study 1, participants who worked on a creative task with AIs (versus purported humans) subsequently rated another purported human's work more negatively. Study 2 replicated this effect and demonstrated that the results hold even when participants believed their evaluation would not be shared with the purported human. Exploratory analyses of participants' conversations show that prior to their human evaluations they were more demanding, more instrumental and displayed less positive affect towards AIs (versus purported humans). These findings point to a potentially worrisome side effect of the exponential rise in human-AI interactions.",Human-AI Interaction and Perception,与AI交互后人们对他人评价更严厉，显示人机互动影响对人际评判。
"Agrawal, Ajay; Gans, Joshua S.; Goldfarb, Avi",Do we want less automation?,SCIENCE,381,6654,155,158,10.1126/science.adh9429,,Editorial Material,JUL 14 2023,2023,"Impressive achievements made through artificial intelligence (AI) innovations in automating the tasks required in many jobs have reinforced concerns about labor market disruption and increased income inequality. This has motivated calls for change in the direction of AI innovation from being guided by task automation to instead focusing on labor augmentation (1). But task automation and labor augmentation are not polar opposites. Instead, automation of some tasks can lead to augmentation of labor elsewhere. Furthermore, AI automation may provide a path to reversing the trend of increasing income inequality by enabling disproportionate productivity improvements for lower-wage workers, allowing them to perform at levels that would previously require years of education and experience.",Applications in Professional and Scientific Fields,任务自动化并非与劳动增强对立，自动化可提升低薪工人生产力并潜在缩减不平等。
"Pan, Xu; Schwartz, Odelia",Multimodal AI needs active human interaction,NATURE HUMAN BEHAVIOUR,8,10,1825,1826,10.1038/s41562-024-01932-6,24-Jul,Letter,24-Oct,2024,"As AI tools quickly become more capable, multimodal and pervasive in daily life, it is important to actively collaborate with them in ways that promote - rather than inhibit - human skill development.",Impact on Human Cognition and Collective Intelligence,多模态AI应通过主动人机协作以促进而非抑制人类技能发展。
"Sourati, Jamshid; Evans, James A.",Accelerating science with human-aware artificial intelligence,NATURE HUMAN BEHAVIOUR,7,10,,,10.1038/s41562-023-01648-z,23-Jul,Article,23-Oct,2023,"Artificial intelligence (AI) models trained on published scientific findings have been used to invent valuable materials and targeted therapies, but they typically ignore the human scientists who continually alter the landscape of discovery. Here we show that incorporating the distribution of human expertise by training unsupervised models on simulated inferences that are cognitively accessible to experts dramatically improves (by up to 400%) AI prediction of future discoveries beyond models focused on research content alone, especially when relevant literature is sparse. These models succeed by predicting human predictions and the scientists who will make them. By tuning human-aware AI to avoid the crowd, we can generate scientifically promising `alien' hypotheses unlikely to be imagined or pursued without intervention until the distant future, which hold promise to punctuate scientific advance beyond questions currently pursued. By accelerating human discovery or probing its blind spots, human-aware AI enables us to move towards and beyond the contemporary scientific frontier.",Applications in Professional and Scientific Fields,通过将人类专业分布纳入训练，人机感知的AI显著提升科学预测并能提出非主流但有前途的假设。
"Zhou, Eric B.; Lee, Dokyun; Gu, Bin",Who expands the human creative frontier with generative AI: Hive minds or masterminds?,SCIENCE ADVANCES,11,36,,,10.1126/sciadv.adu5800,,Article,SEP 3 2025,2025,"Artists are rapidly integrating generative text-to-image models into their workflows, yet how this affects creative discovery remains unclear. Leveraging large-scale data from an online art platform, we compare artificial intelligence (AI)-assisted creators to matched nonadopters to assess novel idea contributions. Initially, a concentrated subset of AI-assisted creators contributes more novel artifacts in absolute terms through increased output-the productivity effect-although the average rate of contributing novel artifacts decreases because of a dilution effect. This reflects a shift toward high-volume, incremental exploration, ultimately yielding a greater aggregate of novel artifacts by AI-assisted creators. We observe no evidence of a human-AI effect above and beyond the productivity effect. The release of open-source Stable Diffusion accelerates novel contributions across a more diverse group, suggesting that text-to-image tools facilitate exploration at scale, initially enabling persistent breakthroughs by select masterminds, driven by increased volume, and subsequently enabling widespread novel contributions from a hive mind.",Impact on Human Cognition and Collective Intelligence,生成式AI初期由少数高产创作者推动突破，随后通过降低门槛促成更广泛的集体创新。
"Pataranutaporn, Pat; Danry, Valdemar; Leong, Joanne; Punpongsanon, Parinya; Novy, Dan; Maes, Pattie; Sra, Misha",AI-generated characters for supporting personalized learning and well-being,NATURE MACHINE INTELLIGENCE,3,12,1013,1022,10.1038/s42256-021-00417-9,21-Dec,Article,21-Dec,2021,"Advancements in machine learning have recently enabled the hyper-realistic synthesis of prose, images, audio and video data, in what is referred to as artificial intelligence (AI)-generated media. These techniques offer novel opportunities for creating interactions with digital portrayals of individuals that can inspire and intrigue us. AI-generated portrayals of characters can feature synthesized faces, bodies and voices of anyone, from a fictional character to a historical figure, or even a deceased family member. Although negative use cases of this technology have dominated the conversation so far, in this Perspective we highlight emerging positive use cases of AI-generated characters, specifically in supporting learning and well-being. We demonstrate an easy-to-use AI character generation pipeline to enable such outcomes and discuss ethical implications as well as the need for including traceability to help maintain trust in the generated media. As we look towards the future, we foresee generative media as a crucial part of the ever growing landscape of human-AI interaction.Digitally recreating the likeness of a person used to be a costly and complex process. Through the use of generative models, AI-generated characters can now be made with relative ease. Pataranutaporn et al. discuss in this Perspective how this technology can be used for positive applications in education and well-being.",Applications in Professional and Scientific Fields,生成式角色可用于个性化学习与福祉支持，但需可追溯性与伦理监管以维持信任。
"Jiang, Liwei; Hwang, Jena D.; Bhagavatula, Chandra; Bras, Ronan Le; Liang, Jenny T.; Levine, Sydney; Dodge, Jesse; Sakaguchi, Keisuke; Forbes, Maxwell; Hessel, Jack; Borchardt, Jon; Sorensen, Taylor; Gabriel, Saadia; Tsvetkov, Yulia; Etzioni, Oren; Sap, Maarten; Rini, Regina; Choi, Yejin",Investigating machine moral judgement through the Delphi experiment,NATURE MACHINE INTELLIGENCE,7,1,,,10.1038/s42256-024-00969-6,25-Jan,Article,25-Jan,2025,"As our society adopts increasingly powerful artificial intelligence (AI) systems for pervasive use, there are growing concerns about machine morality-or lack thereof. Millions of users already rely on the outputs of AI systems, such as chatbots, as decision aids. Meanwhile, AI researchers continue to grapple with the challenge of aligning these systems with human morality and values. In response to this challenge, we build and test Delphi, an open-source AI system trained to predict the moral judgements of US participants. The computational framework of Delphi is grounded in the framework proposed by the prominent moral philosopher John Rawls. Our results speak to the promises and limits of teaching machines about human morality. Delphi demonstrates improved generalization capabilities over those exhibited by off-the-shelf neural language models. At the same time, Delphi's failures also underscore important challenges in this arena. For instance, Delphi has limited cultural awareness and is susceptible to pervasive biases. Despite these shortcomings, we demonstrate several compelling use cases of Delphi, including its incorporation as a component within an ensemble of AI systems. Finally, we computationally demonstrate the potential of Rawls's prospect of hybrid approaches for reliable moral reasoning, inspiring future research in computational morality.","Bias, Ethics, and Societal Risks",Delphi系统能预测美国受试者的道德判断但受文化局限与偏见影响，凸显机器道德判断的局限。
"Chanda, Tirtha; Hauser, Katja; Hobelsberger, Sarah; Bucher, Tabea-Clara; Garcia, Carina Nogueira; Wies, Christoph; Kittler, Harald; Tschandl, Philipp; Navarrete-Dechent, Cristian; Podlipnik, Sebastian; Chousakos, Emmanouil; Crnaric, Iva; Majstorovic, Jovana; Alhajwan, Linda; Foreman, Tanya; Peternel, Sandra; Sarap, Sergei; Ozdemir, Irem; Barnhill, Raymond L.; Llamas-Velasco, Mar; Poch, Gabriela; Korsing, Soeren; Sondermann, Wiebke; Gellrich, Frank Friedrich; Heppt, Markus V.; Erdmann, Michael; Haferkamp, Sebastian; Drexler, Konstantin; Goebeler, Matthias; Schilling, Bastian; Utikal, Jochen S.; Ghoreschi, Kamran; Froehling, Stefan; Krieghoff-Henning, Eva; Brinker, Titus J.",Dermatologist-like explainable AI enhances trust and confidence in diagnosing melanoma,NATURE COMMUNICATIONS,15,1,,,10.1038/s41467-023-43095-4,,Article,JAN 15 2024,2024,"Artificial intelligence (AI) systems have been shown to help dermatologists diagnose melanoma more accurately, however they lack transparency, hindering user acceptance. Explainable AI (XAI) methods can help to increase transparency, yet often lack precise, domain-specific explanations. Moreover, the impact of XAI methods on dermatologists' decisions has not yet been evaluated. Building upon previous research, we introduce an XAI system that provides precise and domain-specific explanations alongside its differential diagnoses of melanomas and nevi. Through a three-phase study, we assess its impact on dermatologists' diagnostic accuracy, diagnostic confidence, and trust in the XAI-support. Our results show strong alignment between XAI and dermatologist explanations. We also show that dermatologists' confidence in their diagnoses, and their trust in the support system significantly increase with XAI compared to conventional AI. This study highlights dermatologists' willingness to adopt such XAI systems, promoting future use in the clinic.Artificial intelligence has become popular as a cancer classification tool, but there is distrust of such systems due to their lack of transparency. Here, the authors develop an explainable AI system which produces text- and region-based explanations alongside its classifications which was assessed using clinicians' diagnostic accuracy, diagnostic confidence, and their trust in the system.",Applications in Professional and Scientific Fields,提供领域化可解释说明的AI可提升皮肤科医生的诊断准确性、信心与对系统的信任。
"Wang, Ying-Lang; Huang, Mao-Chih",Human-AI team halves cost of designing step,NATURE,616,7958,667,668,10.1038/d41586-023-01353-x,,Editorial Material,APR 27 2023,2023,"Engineers and algorithms have competed in a virtual test to design a step in the process of manufacturing computer chips. Pairing human expertise with computational efficiency proves most cost-effective, but only when the timing is right.",Applications in Professional and Scientific Fields,在人机协作中，恰当时机结合人工专长与算法可显著降低设计成本。
"Wells, Sarah","Ready or not, AI is coming to science education - and students have opinions",NATURE,628,8007,459,461,10.1038/d41586-024-01002-x,,Editorial Material,APR 11 2024,2024,"As educators debate whether it's even possible to use AI safely in research and education, students are taking a role in shaping its responsible use.",Applications in Professional and Scientific Fields,学生在AI进入科学教育的讨论中积极表达意见，影响其负责任使用的制定。
"Spitale, Giovanni; Biller-Andorno, Nikola; Germani, Federico",AI model GPT-3 (dis)informs us better than humans,SCIENCE ADVANCES,9,26,,,10.1126/sciadv.adh1850,,Article,23-Jun,2023,"Artificial intelligence (AI) is changing the way we create and evaluate information, and this is happening during an infodemic, which has been having marked effects on global health. Here, we evaluate whether recruited individuals can distinguish disinformation from accurate information, structured in the form of tweets, and determine whether a tweet is organic or synthetic, i.e., whether it has been written by a Twitter user or by the AI model GPT-3. The results of our preregistered study, including 697 participants, show that GPT-3 is a double-edge sword: In comparison with humans, it can produce accurate information that is easier to understand, but it can also produce more compelling disinformation. We also show that humans cannot distinguish between tweets generated by GPT-3 and written by real Twitter users. Starting from our results, we reflect on the dangers of AI for disinformation and on how information campaigns can be improved to benefit global health.",Content Authenticity and Mitigation Strategies,GPT-3能同时生成更易懂的准确信息和更具说服力的虚假信息，且人类难以分辨来源真伪。
[Anonymous],Data sovereignty in genomics and medical research,NATURE MACHINE INTELLIGENCE,4,11,905,906,10.1038/s42256-022-00578-1,22-Nov,Editorial Material,22-Nov,2022,"AI promises to bring many benefits to healthcare and research, but mistrust has built up owing to many instances of harm to under-represented communities. To amend this, participatory approaches can directly involve communities in AI research that will impact them. An important element of such approaches is ensuring that communities can take control over their own data and how they are shared.","Bias, Ethics, and Societal Risks",基因组与医疗研究需尊重数据主权，采用参与式方法让社区掌控其数据共享。
"Tzachor, Asaf; Devare, Medha; King, Brian; Avin, Shahar; Heigeartaigh, Sean O.",Responsible artificial intelligence in agriculture requires systemic understanding of risks and externalities,NATURE MACHINE INTELLIGENCE,4,2,104,109,10.1038/s42256-022-00440-4,,Article,22-Feb,2022,"Global agriculture is poised to benefit from the rapid advance and diffusion of artificial intelligence (AI) technologies. AI in agriculture could improve crop management and agricultural productivity through plant phenotyping, rapid diagnosis of plant disease, efficient application of agrochemicals and assistance for growers with location-relevant agronomic advice. However, the ramifications of machine learning (ML) models, expert systems and autonomous machines for farms, farmers and food security are poorly understood and under-appreciated. Here, we consider systemic risk factors of AI in agriculture. Namely, we review risks relating to interoperability, reliability and relevance of agricultural data, unintended socio-ecological consequences resulting from ML models optimized for yields, and safety and security concerns associated with deployment of ML platforms at scale. As a response, we suggest risk-mitigation measures, including inviting rural anthropologists and applied ecologists into the technology design process, applying frameworks for responsible and human-centred innovation, setting data cooperatives for improved data transparency and ownership rights, and initial deployment of agricultural AI in digital sandboxes.Machine learning applications in agriculture can bring many benefits in crop management and productivity. However, to avoid harmful effects of a new round of technological modernization, fuelled by AI, a thorough risk assessment is required, to review and mitigate risks such as unintended socio-ecological consequences and security concerns associated with applying machine learning models at scale.","Bias, Ethics, and Societal Risks",农业AI带来增产潜力但亦有互操作性、生态与安全风险，需系统性评估与人本设计。
"Starke, Christopher; Ventura, Alfio; Bersch, Clara; Cha, Meeyoung; de Vreese, Claes; Doebler, Philipp; Dong, Mengchen; Kraemer, Nicole; Leib, Margarita; Peter, Jochen; Schaefer, Lea; Soraperra, Ivan; Szczuka, Jessica; Tuchtfeld, Erik; Wald, Rebecca; Koebis, Nils",Risks and protective measures for synthetic relationships,NATURE HUMAN BEHAVIOUR,8,10,1834,1836,10.1038/s41562-024-02005-4,,Article,24-Oct,2024,"As artificial intelligence tools become more sophisticated, humans build synthetic relationships with them. Synthetic relationships differ fundamentally from traditional human-machine interactions and present new risks, such as privacy breaches, psychological manipulation and the erosion of human autonomy. This necessitates proactive, human-centred policies.","Bias, Ethics, and Societal Risks",人类与AI的合成关系带来隐私、操控与自主性侵蚀等新风险，需以人为本制定防护政策。
"Tessler, Michael Henry; Bakker, Michiel A.; Jarrett, Daniel; Sheahan, Hannah; Chadwick, Martin J.; Koster, Raphael; Evans, Georgina; Campbell-Gillingham, Lucy; Collins, Tantum; Parkes, David C.; Botvinick, Matthew; Summerfield, Christopher",AI can help humans find common ground in democratic deliberation,SCIENCE,386,6719,,,10.1126/science.adq2852,,Article,OCT 18 2024,2024,"Finding agreement through a free exchange of views is often difficult. Collective deliberation can be slow, difficult to scale, and unequally attentive to different voices. In this study, we trained an artificial intelligence (AI) to mediate human deliberation. Using participants' personal opinions and critiques, the AI mediator iteratively generates and refines statements that express common ground among the group on social or political issues. Participants (N = 5734) preferred AI-generated statements to those written by human mediators, rating them as more informative, clear, and unbiased. Discussants often updated their views after the deliberation, converging on a shared perspective. Text embeddings revealed that successful group statements incorporated dissenting voices while respecting the majority position. These findings were replicated in a virtual citizens' assembly involving a demographically representative sample of the UK population.",Impact on Human Cognition and Collective Intelligence,作为调解者的AI能生成更具信息性与中立性的共识陈述，促使公众讨论收敛。
"Hutson, Matthew",GUINEA PIGBOTS,SCIENCE,381,6654,121,123,,,Editorial Material,JUL 14 2023,2023,Doing research with human subjects is costly and cumbersome. Can AI chatbots replace them?,Applications in Professional and Scientific Fields,探讨用AI聊天机器人替代人类被试以降低实验成本与复杂性。
"Dong, Mengchen; Bonnefon, Jean-Francois; Rahwan, Iyad",Heterogeneous preferences and asymmetric insights for AI use among welfare claimants and non-claimants,NATURE COMMUNICATIONS,16,1,,,10.1038/s41467-025-62440-3,,Article,JUL 29 2025,2025,"The deployment of AI in welfare benefit allocation accelerates decision-making but has led to unfair denials and false fraud accusations. In the US and UK (N = 3249), we examine public acceptability of speed-accuracy trade-offs among claimants and non-claimants. While the public generally tolerates modest accuracy losses for faster decisions, claimants are less willing to accept AI in welfare systems, raising concerns that using aggregate data for calibration could misalign policies with the preferences of those most affected. Our study further uncovers asymmetric insights between claimants and non-claimants. Non-claimants overestimate claimants' willingness to accept speed-accuracy trade-offs, even when financially incentivized for accurate perspective-taking. This suggests that policy decisions aimed at supporting vulnerable groups may need to incorporate minority voices beyond popular opinion, as non-claimants may not easily understand claimants' perspectives.","Bias, Ethics, and Societal Risks",福利制度中使用AI决策时，受影响群体比旁观者更反对，存在偏离受众意愿的政策风险。
"Mahner, Florian P.; Muttenthaler, Lukas; Guclu, Umut; Hebart, Martin N.",Dimensions underlying the representational alignment of deep neural networks with humans,NATURE MACHINE INTELLIGENCE,7,6,848,859,10.1038/s42256-025-01041-7,,Article,25-Jun,2025,"Determining the similarities and differences between humans and artificial intelligence (AI) is an important goal in both computational cognitive neuroscience and machine learning, promising a deeper understanding of human cognition and safer, more reliable AI systems. Much previous work comparing representations in humans and AI has relied on global, scalar measures to quantify their alignment. However, without explicit hypotheses, these measures only inform us about the degree of alignment, not the factors that determine it. To address this challenge, we propose a generic framework to compare human and AI representations, based on identifying latent representational dimensions underlying the same behaviour in both domains. Applying this framework to humans and a deep neural network (DNN) model of natural images revealed a low-dimensional DNN embedding of both visual and semantic dimensions. In contrast to humans, DNNs exhibited a clear dominance of visual over semantic properties, indicating divergent strategies for representing images. Although in silico experiments showed seemingly consistent interpretability of DNN dimensions, a direct comparison between human and DNN representations revealed substantial differences in how they process images. By making representations directly comparable, our results reveal important challenges for representational alignment and offer a means for improving their comparability.",Impact on Human Cognition and Collective Intelligence,提出框架比较人类与深度网络的潜在表征维度，发现DNN偏向视觉而非语义，揭示对齐挑战。
"Kidd, Celeste; Birhane, Abeba",How AI can distort human beliefs,SCIENCE,380,6651,1222,1223,10.1126/science.adi0248,,Editorial Material,23-Jun,2023,"Models can convey biases and false information to usersIndividual humans form their beliefs by sampling a small subset of the available data in the world. Once those beliefs are formed with high certainty, they can become stubborn to revise. Fabrication and bias in generative artificial intelligence (AI) models are established phenomena that can occur as part of regular system use, in the absence of any malevolent forces seeking to push bias or disinformation. However, transmission of false information and bias from these models to people has been prominently absent from the discourse. Overhyped, unrealistic, and exaggerated capabilities permeate how generative AI models are presented, which contributes to the popular misconception that these models exceed human-level reasoning and exacerbates the risk of transmission of false information and negative stereotypes to people.",Impact on Human Cognition and Collective Intelligence,生成式AI的偏见与虚构内容可被用户采样并固化为顽固信念，从而扭曲人类信念。
"Sengupta, Nandana; Subramanian, Vidya; Mukhopadhyay, Anwesh; Scaria, Arul George",A Global South perspective for ethical algorithms and the State,NATURE MACHINE INTELLIGENCE,5,3,184,186,10.1038/s42256-023-00621-9,23-Feb,Editorial Material,23-Mar,2023,"We explore the intersection between algorithms and the State from the perspectives of legislative action, public perception and the use of AI in public administration. Taking India as a case study, we discuss the potential fallout from the absence of rigorous scholarship on such questions for countries in the Global South.","Bias, Ethics, and Societal Risks",以印度为例讨论算法与国家在立法、公共感知与行政中交互的伦理与风险，强调全球南方研究缺位。
"Dominijanni, Giulia; Shokur, Solaiman; Salvietti, Gionata; Buehler, Sarah; Palmerini, Erica; Rossi, Simone; De Vignemont, Frederique; d'Avella, Andrea; Makin, Tamar R.; Prattichizzo, Domenico; Micera, Silvestro",The neural resource allocation problem when enhancing human bodies with extra robotic limbs,NATURE MACHINE INTELLIGENCE,3,10,850,860,10.1038/s42256-021-00398-9,,Review,21-Oct,2021,"The emergence of robotic body augmentation provides exciting innovations that will revolutionize the fields of robotics, human-machine interaction and wearable electronics. Although augmentative devices such as extra robotic arms and fingers are informed by restorative technologies in many ways, they also introduce unique challenges for bidirectional human-machine collaboration. Can humans adapt and learn to operate a new robotic limb collaboratively with their biological limbs, without restricting other physical abilities? To successfully achieve robotic body augmentation, we need to ensure that, by giving a user an additional (artificial) limb, we are not trading off the functionalities of an existing (biological) one. Here, we introduce the 'neural resource allocation problem' and discuss how to allow the effective voluntary control of augmentative devices without compromising control of the biological body. In reviewing the relevant literature on extra robotic fingers and arms, we critically assess the range of potential solutions available for this neural resource allocation problem. For this purpose, we combine multiple perspectives from engineering and neuroscience with considerations including human-machine interaction, sensory-motor integration, ethics and law. In summary, we aim to define common foundations and operating principles for the successful implementation of robotic body augmentation.The development of extra fingers and arms is an exciting research area in robotics, human-machine interaction and wearable electronics. It is unclear, however, whether humans can adapt and learn to control extra limbs and integrate them into a new sensorimotor representation, without sacrificing their natural abilities. The authors review this topic and describe challenges in allocating neural resources for robotic body augmentation.",Impact on Human Cognition and Collective Intelligence,提出“神经资源分配问题”，评估人类如何学习控制额外机器人肢体而不牺牲生物肢体功能。
